"","point","utmX","utmY","added","region","plot","propOverlap2011","propOverlap2012_2014"
"83",212,514099.31,4293899.89,0,"CRANE","East Bogs",0.687397479,0.687397479
"84",332,508700.02,4301940.9,0,"CRANE","First Creek",0.866580694,0.866580694
"85",333,508700.02,4302140.02,0,"CRANE","First Creek",1,1
"86",334,508700.02,4302337.21,0,"CRANE","First Creek",1,1
"87",335,508700.02,4302540.2,0,"CRANE","First Creek",1,1
"88",336,508500.9,4302536.33,0,"CRANE","First Creek",1,1
"89",337,508500.9,4302136.15,0,"CRANE","First Creek",1,1
"90",338,508500.9,4301942.83,0,"CRANE","First Creek",0.883493473,0.883493473
"91",418,508513.13,4302345.94,0,"CRANE","First Creek",1,1
"92",357,522376.57,4304295.91,0,"CRANE","Sulphur Creek",0.639723528,0.639723528
"93",358,522579.64,4304299.78,0,"CRANE","Sulphur Creek",0.785638026,0.785638026
"94",359,522778.84,4304299.78,0,"CRANE","Sulphur Creek",0.730837136,0.730837136
"95",360,522773.03,4304100.58,0,"CRANE","Sulphur Creek",0.971508449,0.971508449
"96",361,522573.83,4304100.58,0,"CRANE","Sulphur Creek",1,1
"97",362,522374.64,4304100.58,0,"CRANE","Sulphur Creek",0.784427714,0.784427714
"98",363,522376.57,4303899.45,0,"CRANE","Sulphur Creek",0.785649787,0.785649787
"99",364,522776.9,4303899.45,0,"CRANE","Sulphur Creek",0.960881938,0.960881938
"100",365,522384.31,4303700.25,0,"CRANE","Sulphur Creek",0.819044239,0.819044239
"101",366,522776.9,4303700.25,0,"CRANE","Sulphur Creek",0.963248659,0.963248659
"102",367,522577.7,4303899.45,0,"CRANE","Sulphur Creek",1,1
"103",368,522571.9,4303700.25,0,"CRANE","Sulphur Creek",1,1
"104",165,509701.02,4290099.34,0,"CRANE","Seed Tick",0.949957034,0.949957034
"105",166,509899.38,4290096.8,0,"CRANE","Seed Tick",1,1
"106",167,510100.28,4290099.34,0,"CRANE","Seed Tick",1,1
"107",168,510301.18,4290099.34,0,"CRANE","Seed Tick",1,1
"108",169,510499.53,4290099.34,0,"CRANE","Seed Tick",0.999978595,1
"109",170,510499.53,4289900.99,0,"CRANE","Seed Tick",0.787637314,1
"110",171,510301.18,4289900.99,0,"CRANE","Seed Tick",0.789157069,0.945118707
"111",172,510100.28,4289900.99,0,"CRANE","Seed Tick",0.790693782,0.790693782
"112",173,509899.38,4289900.99,0,"CRANE","Seed Tick",0.792227897,0.792227897
"113",174,509701.02,4289900.99,0,"CRANE","Seed Tick",0.73876865,0.73876865
"114",175,510301.18,4290300.24,0,"CRANE","Seed Tick",0.363847445,0.363847445
"115",176,510499.53,4290300.24,0,"CRANE","Seed Tick",0.367205875,0.367205875
"116",177,509701.02,4290300.24,0,"CRANE","Seed Tick",0.344210271,0.344210271
"117",178,509899.38,4290300.24,0,"CRANE","Seed Tick",0.357057879,0.357057879
"118",179,510100.28,4290300.24,0,"CRANE","Seed Tick",0.360450377,0.360450377
"119",1218,510747.67,4289300.17,1,"CRANE","Seed Tick",NA,0.880295351
"120",1217,510748.88,4289500.02,1,"CRANE","Seed Tick",NA,0.87422793
"121",1216,510747.13,4289701.75,1,"CRANE","Seed Tick",NA,0.875616474
"122",1215,510549.31,4289699.6,1,"CRANE","Seed Tick",NA,1
"123",1214,510545.15,4289497.86,1,"CRANE","Seed Tick",NA,1
"124",1213,510545.41,4289299.9,1,"CRANE","Seed Tick",NA,0.99496978
"125",1212,510346.11,4289297.75,1,"CRANE","Seed Tick",NA,0.930813776
"126",1211,510348.8,4289497.6,1,"CRANE","Seed Tick",NA,0.946069168
"127",1210,510347.06,4289699.34,1,"CRANE","Seed Tick",NA,0.936977818
"128",1209,510696.67,4289903.42,1,"CRANE","Seed Tick",0.003613508,1
"129",1208,510897.44,4289903.69,1,"CRANE","Seed Tick",NA,0.686506871
"130",1207,510895.69,4290101.66,1,"CRANE","Seed Tick",NA,0.834899406
"131",1206,510699.35,4290101.39,1,"CRANE","Seed Tick",2.14257559082069e-06,1
"132",384,524499.13,4350762.04,0,"IDNR","McCormick's Creek State Park",0.860454758,0.860454758
"133",385,524298.99,4350762.04,0,"IDNR","McCormick's Creek State Park",0.860454758,0.860454758
"134",386,524298.99,4350559.6,0,"IDNR","McCormick's Creek State Park",1,1
"135",387,524499.13,4350561.91,0,"IDNR","McCormick's Creek State Park",1,1
"136",388,524699.27,4350559.6,0,"IDNR","McCormick's Creek State Park",1,1
"137",389,524699.27,4350361.77,0,"IDNR","McCormick's Creek State Park",1,1
"138",390,524501.43,4350366.37,0,"IDNR","McCormick's Creek State Park",1,1
"139",391,524298.99,4350366.37,0,"IDNR","McCormick's Creek State Park",1,1
"140",392,524298.99,4350161.63,0,"IDNR","McCormick's Creek State Park",1,1
"141",393,524499.13,4350161.63,0,"IDNR","McCormick's Creek State Park",1,1
"142",394,524699.27,4350168.53,0,"IDNR","McCormick's Creek State Park",1,1
"143",395,524699.27,4350757.44,0,"IDNR","McCormick's Creek State Park",0.883229802,0.883229802
"144",1226,524197.84,4349981.58,1,"IDNR","McCormick's Creek State Park",0.479578053,0.479578053
"145",1225,524598.33,4349980.62,1,"IDNR","McCormick's Creek State Park",0.727570616,0.727570616
"146",1224,524398.94,4349982.2,1,"IDNR","McCormick's Creek State Park",0.73326399,0.73326399
"147",401,512130.65,4352822.34,0,"IDNR","Owen-Putnam State Forest",0.676114817,0.676114817
"148",402,512539.77,4352822.34,0,"IDNR","Owen-Putnam State Forest",0.815618444,0.815618444
"149",403,512737.97,4352822.34,0,"IDNR","Owen-Putnam State Forest",0.811421956,0.811421956
"150",404,512127.82,4352628.39,0,"IDNR","Owen-Putnam State Forest",0.822075282,0.822075282
"151",405,512341.58,4352626.97,0,"IDNR","Owen-Putnam State Forest",1,1
"152",406,512536.94,4352626.97,0,"IDNR","Owen-Putnam State Forest",1,1
"153",407,512737.97,4352624.14,0,"IDNR","Owen-Putnam State Forest",1,1
"154",408,512739.38,4352434.45,0,"IDNR","Owen-Putnam State Forest",1,1
"155",409,512525.62,4352431.61,0,"IDNR","Owen-Putnam State Forest",1,1
"156",410,512324.59,4352433.03,0,"IDNR","Owen-Putnam State Forest",1,1
"157",411,512122.15,4352435.86,0,"IDNR","Owen-Putnam State Forest",0.790897433,0.790897433
"158",412,512340.17,4352823.75,0,"IDNR","Owen-Putnam State Forest",0.812158859,0.812158859
"159",1229,512920.92,4352320.85,1,"IDNR","Owen-Putnam State Forest",0.448216542,0.448216542
"160",1228,512916.13,4352523.09,1,"IDNR","Owen-Putnam State Forest",0.738304327,0.738304327
"161",1227,512915.8,4352721.03,1,"IDNR","Owen-Putnam State Forest",0.733308402,0.733308402
"162",137,549368.19,4286459.57,0,"IDNR","Spring Mill State Park",0.690027726,0.836543515
"163",138,549561.43,4286457.9,0,"IDNR","Spring Mill State Park",0.828582513,1
"164",139,549754.68,4286457.9,0,"IDNR","Spring Mill State Park",0.824131216,1
"165",140,549952.92,4286456.23,0,"IDNR","Spring Mill State Park",0.810449711,1
"166",141,550154.49,4286456.23,0,"IDNR","Spring Mill State Park",0.805692707,1
"167",142,550156.16,4286652.81,0,"IDNR","Spring Mill State Park",1,1
"168",143,549959.58,4286654.48,0,"IDNR","Spring Mill State Park",1,1
"169",144,549756.34,4286656.14,0,"IDNR","Spring Mill State Park",1,1
"170",145,549559.77,4286656.14,0,"IDNR","Spring Mill State Park",1,1
"171",146,549363.19,4286652.81,0,"IDNR","Spring Mill State Park",0.803403429,0.803403429
"172",147,549754.68,4286866.04,0,"IDNR","Spring Mill State Park",0.553802987,0.553802986
"173",148,549954.58,4286869.38,0,"IDNR","Spring Mill State Park",0.53441211,0.53441211
"174",149,550152.83,4286867.71,0,"IDNR","Spring Mill State Park",0.546834371,0.546834371
"175",150,549356.53,4286862.71,0,"IDNR","Spring Mill State Park",0.430897939,0.430897939
"176",151,549551.44,4286864.38,0,"IDNR","Spring Mill State Park",0.5624771,0.5624771
"177",1205,512710.91,4313909.9,1,"IDNR","Martin State Forest",NA,0.554124981
"178",374,512125.99,4313679.88,0,"IDNR","Martin State Forest",0.813323345,1
"179",375,512528.04,4313678.48,0,"IDNR","Martin State Forest",0.82091994,1
"180",376,512722.75,4313672.87,0,"IDNR","Martin State Forest",0.723357011,0.86502718
"181",377,512724.16,4313478.16,0,"IDNR","Martin State Forest",0.862610087,0.862610087
"182",378,512532.24,4313473.95,0,"IDNR","Martin State Forest",1,1
"183",379,512326.31,4313473.95,0,"IDNR","Martin State Forest",1,1
"184",380,512117.59,4313473.95,0,"IDNR","Martin State Forest",1,1
"185",381,511920.07,4313471.15,0,"IDNR","Martin State Forest",0.836888707,0.836888707
"186",382,512535.04,4313275.03,0,"IDNR","Martin State Forest",0.591496335,0.591496335
"187",383,512329.12,4313270.83,0,"IDNR","Martin State Forest",0.601799959,0.601799959
"188",1201,511920.37,4313873.87,1,"IDNR","Martin State Forest",NA,0.68225957
"189",1202,512123.18,4313877.09,1,"IDNR","Martin State Forest",NA,0.806100275
"190",1203,512322.59,4313880.3,1,"IDNR","Martin State Forest",NA,0.788846328
"191",1204,512523.14,4313879.16,1,"IDNR","Martin State Forest",NA,0.795820813
"192",416,511920.07,4313678.48,0,"IDNR","Martin State Forest",0.680147809,0.845460766
"193",417,512322.11,4313678.48,0,"IDNR","Martin State Forest",0.82091994,1
