"","point","percOverlap2011","percOverlap2012"
"1",600,0.722754457804238,0.722754457804238
"2",601,0.821747280187767,0.821747280187767
"3",602,0.832613095020504,0.832613095020504
"4",603,0.999999999999755,0.999999999999755
"5",604,0.999999999999926,0.999999999999926
"6",605,0.901351465643365,0.901351465643365
"7",606,0.907672165203758,0.907672165203758
"8",607,0.999999999999926,0.999999999999926
"9",608,0.999999999999755,0.999999999999755
"10",609,0.999999999999755,0.999999999999755
"11",610,0.999999999999926,0.999999999999926
"12",611,0.914128595411748,0.914128595411748
"13",612,0.856652701621917,0.856652701621917
"14",613,0.9196207339647,0.9196207339647
"15",614,0.882467068124572,0.882467068124572
"16",1230,0.515237759951164,0.515237759951164
"17",1231,0.521750827508331,0.521750827508331
"18",1232,0.502832754640963,0.502832754640963
"19",1233,0.509716882630767,0.509716882630767
"20",615,0.913699845429885,0.913699845429885
"21",616,0.911348390968371,0.911348390968371
"22",617,0.83675783209286,0.83675783209286
"23",618,0.989162842797172,0.989162842797172
"24",619,0.999999999999852,0.999999999999852
"25",620,0.999999999999236,0.999999999999236
"26",621,0.999888797201061,0.999888797201061
"27",622,0.999999999999852,0.999999999999852
"28",623,1.0000000000007,1.0000000000007
"29",624,0.772515970295165,0.772515970295165
"30",625,0.890937316272361,0.890937316272361
"31",626,0.896373585990245,0.896373585990245
"32",627,1.00000000000027,1.00000000000027
"33",628,1.00000000000039,1.00000000000039
"34",643,0.91243842741648,0.91243842741648
"35",629,0.843690304773197,0.843690304773197
"36",630,0.851706740906785,0.851706740906785
"37",631,0.84788495331972,0.84788495331972
"38",632,0.980437796976408,0.980437796976408
"39",633,1.00000000000102,1.00000000000102
"40",634,0.999999999999622,0.999999999999622
"41",635,0.855882650932937,0.855882650932937
"42",636,0.999999999999703,0.999999999999703
"43",637,0.999999999999422,0.999999999999422
"44",638,1.00000000000041,1.00000000000041
"45",639,1.00000000000062,1.00000000000062
"46",640,0.854122869463678,0.854122869463678
"47",641,0.922984259344395,0.922984259344395
"48",642,0.93374311699298,0.93374311699298
"49",1234,0.613242580866639,0.613242580866639
"50",594,1.00000000000016,1.00000000000016
"51",595,0.902531512702687,0.902531512702687
"52",596,0.99999999999977,0.99999999999977
"53",597,0.99247309941107,0.99247309941107
"54",598,0.998682282051227,0.998682282051227
"55",599,0.877540320576761,0.877540320576761
"56",644,0.767159340021897,0.767159340021897
"57",645,0.860398865888826,0.860398865888826
"58",646,0.85983071525005,0.85983071525005
"59",647,0.984414011403723,0.984414011403723
"60",648,0.9999999999998,0.9999999999998
"61",649,0.921020284842721,0.921020284842721
"62",650,0.896827601644964,0.896827601644964
"63",651,0.999999999999785,0.999999999999785
"64",652,0.994850857692353,0.994850857692353
"65",194,0.710070558553677,0.710070558553677
"66",195,0.916571458683402,0.916571458683402
"67",196,0.913728539280336,0.913728539280336
"68",197,0.910830762423084,0.910830762423084
"69",198,0.68604763294657,0.68604763294657
"70",199,0.779064297482156,0.779064297482156
"71",200,1.00000000000009,1.00000000000009
"72",201,0.99999999999931,0.99999999999931
"73",202,1.00000000000027,1.00000000000027
"74",203,0.779585973200426,0.779585973200426
"75",204,0.77196485565292,0.77196485565292
