"","unique.ID","birds","plot"
"117","145-2011-152",3,"Spring Mill State Park"
"118","146-2011-152",1,"Spring Mill State Park"
"119","146-2013-188",0,"Spring Mill State Park"
"120","146-2012-155",2,"Spring Mill State Park"
"121","146-2013-153",0,"Spring Mill State Park"
"122","146-2014-176",6,"Spring Mill State Park"
"123","146-2014-165",1,"Spring Mill State Park"
"124","146-2013-169",0,"Spring Mill State Park"
"125","146-2011-187",1,"Spring Mill State Park"
"126","146-2012-187",2,"Spring Mill State Park"
"127","146-2011-168",1,"Spring Mill State Park"
"128","146-2014-193",4,"Spring Mill State Park"
"129","146-2012-171",3,"Spring Mill State Park"
"130","146-2014-177",5,"Spring Mill State Park"
"131","147-2014-176",3,"Spring Mill State Park"
"132","147-2012-187",1,"Spring Mill State Park"
"133","147-2012-155",1,"Spring Mill State Park"
"134","147-2011-185",3,"Spring Mill State Park"
"135","147-2013-169",2,"Spring Mill State Park"
"136","147-2014-193",4,"Spring Mill State Park"
"137","147-2014-177",2,"Spring Mill State Park"
"138","147-2011-152",0,"Spring Mill State Park"
"139","147-2012-171",1,"Spring Mill State Park"
"140","147-2014-165",4,"Spring Mill State Park"
"141","147-2013-188",3,"Spring Mill State Park"
"142","147-2011-168",3,"Spring Mill State Park"
"143","147-2013-153",1,"Spring Mill State Park"
"144","148-2014-177",2,"Spring Mill State Park"
"145","148-2014-165",1,"Spring Mill State Park"
"146","148-2012-171",2,"Spring Mill State Park"
"147","148-2011-152",1,"Spring Mill State Park"
"148","148-2013-153",2,"Spring Mill State Park"
"149","148-2013-169",2,"Spring Mill State Park"
"150","148-2012-155",1,"Spring Mill State Park"
"151","148-2013-188",5,"Spring Mill State Park"
"152","148-2014-193",2,"Spring Mill State Park"
"153","148-2011-168",4,"Spring Mill State Park"
"154","148-2012-187",0,"Spring Mill State Park"
"155","148-2011-187",3,"Spring Mill State Park"
"156","148-2014-176",3,"Spring Mill State Park"
"157","149-2012-155",1,"Spring Mill State Park"
"158","149-2011-152",1,"Spring Mill State Park"
"159","149-2014-177",4,"Spring Mill State Park"
"160","149-2011-168",1,"Spring Mill State Park"
"161","149-2014-176",3,"Spring Mill State Park"
"162","149-2014-165",2,"Spring Mill State Park"
"163","149-2013-153",4,"Spring Mill State Park"
"164","149-2012-187",2,"Spring Mill State Park"
"165","149-2011-185",2,"Spring Mill State Park"
"166","149-2013-188",2,"Spring Mill State Park"
"167","149-2014-193",1,"Spring Mill State Park"
"168","149-2013-169",2,"Spring Mill State Park"
"169","149-2012-171",0,"Spring Mill State Park"
"170","150-2014-176",1,"Spring Mill State Park"
"171","150-2014-165",0,"Spring Mill State Park"
"172","150-2013-153",2,"Spring Mill State Park"
"173","150-2013-188",2,"Spring Mill State Park"
"174","150-2012-171",2,"Spring Mill State Park"
"175","150-2012-187",2,"Spring Mill State Park"
"176","150-2011-168",0,"Spring Mill State Park"
"177","150-2011-187",0,"Spring Mill State Park"
"178","150-2014-177",3,"Spring Mill State Park"
"179","150-2012-155",0,"Spring Mill State Park"
"180","150-2014-193",1,"Spring Mill State Park"
"181","150-2013-169",0,"Spring Mill State Park"
"182","150-2011-152",0,"Spring Mill State Park"
"183","151-2013-153",1,"Spring Mill State Park"
"184","151-2014-165",1,"Spring Mill State Park"
"185","151-2014-176",4,"Spring Mill State Park"
"186","151-2014-193",1,"Spring Mill State Park"
"187","151-2012-171",0,"Spring Mill State Park"
"188","151-2011-168",2,"Spring Mill State Park"
"189","151-2014-177",3,"Spring Mill State Park"
"190","151-2013-188",2,"Spring Mill State Park"
"191","151-2013-169",0,"Spring Mill State Park"
"192","151-2012-155",0,"Spring Mill State Park"
"193","151-2011-152",1,"Spring Mill State Park"
"194","151-2011-187",0,"Spring Mill State Park"
"195","151-2012-187",1,"Spring Mill State Park"
"196","165-2012-156",1,"Seed Tick"
"197","165-2011-154",0,"Seed Tick"
"198","165-2012-172",2,"Seed Tick"
"199","165-2011-188",0,"Seed Tick"
"200","165-2014-172",0,"Seed Tick"
"201","165-2013-154",0,"Seed Tick"
"202","165-2012-184",1,"Seed Tick"
"203","165-2014-190",1,"Seed Tick"
"204","165-2013-186",1,"Seed Tick"
"205","165-2013-170",2,"Seed Tick"
"206","165-2011-171",0,"Seed Tick"
"207","165-2014-153",0,"Seed Tick"
"208","165-2014-171",0,"Seed Tick"
"209","166-2011-171",1,"Seed Tick"
"210","166-2012-156",0,"Seed Tick"
"211","166-2011-154",0,"Seed Tick"
"212","166-2014-190",0,"Seed Tick"
"213","166-2014-153",0,"Seed Tick"
"214","166-2012-184",0,"Seed Tick"
"215","166-2012-172",2,"Seed Tick"
"216","166-2011-188",1,"Seed Tick"
"217","166-2013-170",0,"Seed Tick"
"218","166-2013-186",0,"Seed Tick"
"219","166-2013-154",0,"Seed Tick"
"220","166-2014-172",0,"Seed Tick"
"221","166-2014-171",0,"Seed Tick"
"222","167-2012-184",0,"Seed Tick"
"223","167-2012-172",1,"Seed Tick"
"224","167-2014-172",0,"Seed Tick"
"225","167-2013-170",0,"Seed Tick"
"226","167-2014-190",0,"Seed Tick"
"227","167-2014-153",0,"Seed Tick"
"228","167-2011-188",0,"Seed Tick"
"229","167-2012-156",1,"Seed Tick"
"230","167-2013-154",0,"Seed Tick"
"231","167-2011-154",1,"Seed Tick"
"232","167-2014-171",2,"Seed Tick"
"233","167-2011-171",0,"Seed Tick"
"234","167-2013-186",1,"Seed Tick"
"235","168-2013-186",1,"Seed Tick"
"236","168-2012-172",1,"Seed Tick"
"237","168-2013-170",0,"Seed Tick"
"238","168-2014-169",2,"Seed Tick"
"239","168-2011-171",0,"Seed Tick"
"240","168-2014-185",2,"Seed Tick"
"241","168-2012-184",0,"Seed Tick"
"242","168-2014-170",3,"Seed Tick"
"243","168-2013-154",0,"Seed Tick"
"244","168-2014-154",1,"Seed Tick"
"245","168-2011-154",2,"Seed Tick"
"246","168-2011-188",2,"Seed Tick"
"247","168-2012-156",1,"Seed Tick"
"248","169-2012-156",1,"Seed Tick"
"249","169-2011-154",3,"Seed Tick"
"250","169-2014-170",0,"Seed Tick"
"251","169-2014-185",0,"Seed Tick"
"252","169-2011-188",3,"Seed Tick"
"253","169-2011-171",1,"Seed Tick"
"254","169-2014-169",0,"Seed Tick"
"255","169-2013-170",0,"Seed Tick"
"256","169-2013-154",1,"Seed Tick"
"257","169-2013-186",0,"Seed Tick"
"258","169-2012-172",2,"Seed Tick"
"259","169-2014-154",2,"Seed Tick"
"260","169-2012-184",2,"Seed Tick"
"261","170-2012-156",4,"Seed Tick"
"262","170-2011-188",1,"Seed Tick"
"263","170-2014-169",0,"Seed Tick"
"264","170-2013-154",0,"Seed Tick"
"265","170-2013-170",1,"Seed Tick"
"266","170-2011-171",1,"Seed Tick"
"267","170-2011-154",2,"Seed Tick"
"268","170-2013-186",0,"Seed Tick"
"269","170-2012-184",2,"Seed Tick"
"270","170-2014-185",3,"Seed Tick"
"271","170-2012-172",1,"Seed Tick"
"272","170-2014-154",2,"Seed Tick"
"273","170-2014-170",0,"Seed Tick"
"274","171-2014-169",0,"Seed Tick"
"275","171-2011-154",2,"Seed Tick"
"276","171-2011-188",1,"Seed Tick"
"277","171-2014-170",2,"Seed Tick"
"278","171-2014-154",1,"Seed Tick"
"279","171-2012-156",2,"Seed Tick"
"280","171-2013-170",0,"Seed Tick"
"281","171-2011-171",0,"Seed Tick"
"282","171-2014-185",4,"Seed Tick"
"283","171-2012-184",4,"Seed Tick"
"284","171-2013-154",0,"Seed Tick"
"285","171-2013-186",1,"Seed Tick"
"286","171-2012-172",1,"Seed Tick"
"287","172-2013-186",0,"Seed Tick"
"288","172-2013-154",1,"Seed Tick"
"289","172-2012-156",1,"Seed Tick"
"290","172-2011-154",1,"Seed Tick"
"291","172-2014-172",0,"Seed Tick"
"292","172-2014-153",1,"Seed Tick"
"293","172-2012-172",1,"Seed Tick"
"294","172-2014-171",0,"Seed Tick"
"295","172-2012-184",1,"Seed Tick"
"296","172-2014-190",2,"Seed Tick"
"297","172-2011-188",0,"Seed Tick"
"298","172-2013-170",0,"Seed Tick"
"299","172-2011-171",0,"Seed Tick"
"300","173-2014-172",0,"Seed Tick"
"301","173-2013-154",0,"Seed Tick"
"302","173-2014-153",0,"Seed Tick"
"303","173-2011-171",0,"Seed Tick"
"304","173-2014-190",0,"Seed Tick"
"305","173-2012-184",0,"Seed Tick"
"306","173-2013-186",0,"Seed Tick"
"307","173-2013-170",0,"Seed Tick"
"308","173-2014-171",0,"Seed Tick"
"309","173-2012-156",0,"Seed Tick"
"310","173-2011-188",0,"Seed Tick"
"311","173-2012-172",1,"Seed Tick"
"312","173-2011-154",0,"Seed Tick"
"313","174-2011-154",0,"Seed Tick"
"314","174-2012-184",1,"Seed Tick"
"315","174-2013-154",0,"Seed Tick"
"316","174-2013-186",0,"Seed Tick"
"317","174-2011-188",0,"Seed Tick"
"318","174-2014-190",3,"Seed Tick"
"319","174-2013-170",1,"Seed Tick"
"320","174-2012-172",2,"Seed Tick"
"321","174-2014-172",0,"Seed Tick"
"322","174-2012-156",1,"Seed Tick"
"323","174-2014-153",1,"Seed Tick"
"324","174-2014-171",0,"Seed Tick"
"325","174-2011-171",0,"Seed Tick"
"326","175-2013-186",0,"Seed Tick"
"327","175-2014-171",0,"Seed Tick"
"328","175-2014-172",0,"Seed Tick"
"329","175-2013-154",0,"Seed Tick"
"330","175-2011-154",1,"Seed Tick"
"331","175-2013-170",0,"Seed Tick"
"332","175-2012-184",0,"Seed Tick"
"333","175-2012-156",1,"Seed Tick"
"334","175-2012-172",2,"Seed Tick"
"335","175-2011-171",0,"Seed Tick"
"336","175-2014-190",0,"Seed Tick"
"337","175-2014-153",0,"Seed Tick"
"338","175-2011-188",1,"Seed Tick"
"339","176-2014-170",2,"Seed Tick"
"340","176-2013-154",0,"Seed Tick"
"341","176-2014-169",2,"Seed Tick"
"342","176-2014-185",2,"Seed Tick"
"343","176-2014-154",1,"Seed Tick"
"344","176-2011-170",1,"Seed Tick"
"345","176-2012-156",0,"Seed Tick"
"346","176-2011-154",2,"Seed Tick"
"347","176-2012-172",2,"Seed Tick"
"348","176-2012-184",2,"Seed Tick"
"349","176-2013-170",1,"Seed Tick"
"350","176-2011-188",1,"Seed Tick"
"351","176-2013-186",0,"Seed Tick"
"352","177-2014-172",0,"Seed Tick"
"353","177-2013-186",0,"Seed Tick"
"354","177-2013-154",2,"Seed Tick"
"355","177-2014-171",0,"Seed Tick"
"356","177-2011-171",0,"Seed Tick"
"357","177-2012-172",1,"Seed Tick"
"358","177-2011-188",0,"Seed Tick"
"359","177-2013-170",0,"Seed Tick"
"360","177-2014-153",3,"Seed Tick"
"361","177-2012-184",2,"Seed Tick"
"362","177-2011-154",0,"Seed Tick"
"363","177-2014-190",0,"Seed Tick"
"364","177-2012-156",1,"Seed Tick"
"365","178-2013-170",0,"Seed Tick"
"366","178-2013-154",0,"Seed Tick"
"367","178-2013-186",0,"Seed Tick"
"368","178-2011-171",0,"Seed Tick"
"369","178-2014-171",0,"Seed Tick"
"370","178-2012-172",2,"Seed Tick"
"371","178-2011-188",0,"Seed Tick"
"372","178-2014-153",1,"Seed Tick"
"373","178-2014-172",0,"Seed Tick"
"374","178-2014-190",0,"Seed Tick"
"375","178-2011-154",0,"Seed Tick"
"376","178-2012-156",0,"Seed Tick"
"377","178-2012-184",0,"Seed Tick"
"378","179-2014-171",1,"Seed Tick"
"379","179-2014-153",1,"Seed Tick"
"380","179-2011-171",0,"Seed Tick"
"381","179-2012-184",1,"Seed Tick"
"382","179-2013-154",0,"Seed Tick"
"383","179-2014-172",1,"Seed Tick"
"384","179-2012-156",0,"Seed Tick"
"385","179-2011-188",0,"Seed Tick"
"386","179-2014-190",2,"Seed Tick"
"387","179-2013-170",0,"Seed Tick"
"388","179-2011-154",0,"Seed Tick"
"389","179-2012-172",2,"Seed Tick"
"390","179-2013-186",1,"Seed Tick"
"391","194-2012-182",1,"East Bogs"
"392","194-2012-152",1,"East Bogs"
"393","194-2011-187",3,"East Bogs"
"394","194-2011-153",1,"East Bogs"
"395","194-2011-171",3,"East Bogs"
"396","194-2013-154",3,"East Bogs"
"397","194-2014-175",1,"East Bogs"
"398","194-2013-170",2,"East Bogs"
"399","194-2012-168",0,"East Bogs"
"400","194-2014-174",3,"East Bogs"
"401","194-2014-192",2,"East Bogs"
"402","194-2013-186",4,"East Bogs"
"403","194-2014-155",3,"East Bogs"
"404","195-2013-186",2,"East Bogs"
"405","195-2013-170",1,"East Bogs"
"406","195-2011-153",3,"East Bogs"
"407","195-2012-182",0,"East Bogs"
"408","195-2013-154",2,"East Bogs"
"409","195-2014-192",4,"East Bogs"
"410","195-2011-171",1,"East Bogs"
"411","195-2014-155",2,"East Bogs"
"412","195-2014-174",4,"East Bogs"
"413","195-2012-168",0,"East Bogs"
"414","195-2011-187",2,"East Bogs"
"415","195-2014-175",2,"East Bogs"
"416","195-2012-152",1,"East Bogs"
"417","196-2014-192",6,"East Bogs"
"418","196-2014-174",4,"East Bogs"
"419","196-2014-155",3,"East Bogs"
"420","196-2014-175",3,"East Bogs"
"421","196-2012-168",2,"East Bogs"
"422","196-2013-154",3,"East Bogs"
"423","196-2012-152",1,"East Bogs"
"424","196-2011-171",2,"East Bogs"
"425","196-2011-187",2,"East Bogs"
"426","196-2013-170",1,"East Bogs"
"427","196-2012-182",0,"East Bogs"
"428","196-2013-186",3,"East Bogs"
"429","196-2011-153",2,"East Bogs"
"430","197-2012-152",0,"East Bogs"
"431","197-2014-174",4,"East Bogs"
"432","197-2012-168",1,"East Bogs"
"433","197-2013-154",1,"East Bogs"
"434","197-2011-171",2,"East Bogs"
"435","197-2014-192",1,"East Bogs"
"436","197-2014-155",5,"East Bogs"
"437","197-2011-153",0,"East Bogs"
"438","197-2013-186",3,"East Bogs"
"439","197-2012-182",3,"East Bogs"
"440","197-2011-187",1,"East Bogs"
"441","197-2014-175",3,"East Bogs"
"442","197-2013-170",3,"East Bogs"
"443","198-2014-175",4,"East Bogs"
"444","198-2011-171",0,"East Bogs"
"445","198-2013-170",2,"East Bogs"
"446","198-2012-152",0,"East Bogs"
"447","198-2014-174",1,"East Bogs"
"448","198-2013-186",2,"East Bogs"
"449","198-2011-187",1,"East Bogs"
"450","198-2012-168",3,"East Bogs"
"451","198-2014-192",2,"East Bogs"
"452","198-2012-182",2,"East Bogs"
"453","198-2013-154",2,"East Bogs"
"454","198-2014-155",2,"East Bogs"
"455","198-2011-153",1,"East Bogs"
"456","199-2012-168",2,"East Bogs"
"457","199-2013-154",0,"East Bogs"
"458","199-2012-152",1,"East Bogs"
"459","199-2011-153",0,"East Bogs"
"460","199-2013-186",2,"East Bogs"
"461","199-2012-182",1,"East Bogs"
"462","199-2014-174",1,"East Bogs"
"463","199-2014-175",2,"East Bogs"
"464","199-2014-192",3,"East Bogs"
"465","199-2011-187",0,"East Bogs"
"466","199-2013-170",1,"East Bogs"
"467","199-2014-158",2,"East Bogs"
"468","199-2011-171",2,"East Bogs"
"469","200-2011-187",2,"East Bogs"
"470","200-2012-182",2,"East Bogs"
"471","200-2011-153",0,"East Bogs"
"472","200-2011-171",1,"East Bogs"
"473","200-2013-186",2,"East Bogs"
"474","200-2012-168",2,"East Bogs"
"475","200-2014-174",2,"East Bogs"
"476","200-2012-152",1,"East Bogs"
"477","200-2013-154",2,"East Bogs"
"478","200-2013-170",3,"East Bogs"
"479","200-2014-192",0,"East Bogs"
"480","200-2014-175",3,"East Bogs"
"481","200-2014-155",3,"East Bogs"
"482","201-2011-171",1,"East Bogs"
"483","201-2012-182",1,"East Bogs"
"484","201-2013-154",0,"East Bogs"
"485","201-2011-153",2,"East Bogs"
"486","201-2013-170",2,"East Bogs"
"487","201-2011-187",2,"East Bogs"
"488","201-2014-155",2,"East Bogs"
"489","201-2012-152",1,"East Bogs"
"490","201-2014-174",2,"East Bogs"
"491","201-2014-192",3,"East Bogs"
"492","201-2014-175",1,"East Bogs"
"493","201-2013-186",3,"East Bogs"
"494","201-2012-168",1,"East Bogs"
"495","202-2013-186",0,"East Bogs"
"496","202-2013-170",0,"East Bogs"
"497","202-2012-182",0,"East Bogs"
"498","202-2011-153",2,"East Bogs"
"499","202-2013-154",0,"East Bogs"
"500","202-2012-168",1,"East Bogs"
"501","202-2011-170",2,"East Bogs"
"502","202-2014-175",1,"East Bogs"
"503","202-2012-152",0,"East Bogs"
"504","202-2011-187",3,"East Bogs"
"505","202-2014-155",2,"East Bogs"
"506","202-2014-192",3,"East Bogs"
"507","202-2014-174",2,"East Bogs"
"508","203-2013-170",1,"East Bogs"
"509","203-2013-186",2,"East Bogs"
"510","203-2012-182",2,"East Bogs"
"511","203-2014-192",2,"East Bogs"
"512","203-2014-175",2,"East Bogs"
"513","203-2013-154",1,"East Bogs"
"514","203-2011-171",1,"East Bogs"
"515","203-2014-155",4,"East Bogs"
"516","203-2014-174",2,"East Bogs"
"517","203-2012-152",3,"East Bogs"
"518","203-2011-153",1,"East Bogs"
"519","203-2012-168",1,"East Bogs"
"520","203-2011-187",2,"East Bogs"
"521","204-2013-170",1,"East Bogs"
"522","204-2012-168",1,"East Bogs"
"523","204-2014-175",3,"East Bogs"
"524","204-2011-171",1,"East Bogs"
"525","204-2014-192",2,"East Bogs"
"526","204-2013-186",1,"East Bogs"
"527","204-2011-153",1,"East Bogs"
"528","204-2011-187",1,"East Bogs"
"529","204-2014-155",2,"East Bogs"
"530","204-2014-174",0,"East Bogs"
"531","204-2012-152",0,"East Bogs"
"532","204-2013-154",2,"East Bogs"
"533","204-2012-182",1,"East Bogs"
"534","205-2014-174",2,"East Bogs"
"535","205-2012-152",0,"East Bogs"
"536","205-2011-153",2,"East Bogs"
"537","205-2012-182",1,"East Bogs"
"538","205-2013-186",3,"East Bogs"
"539","205-2013-170",0,"East Bogs"
"540","205-2014-155",2,"East Bogs"
"541","205-2014-192",1,"East Bogs"
"542","205-2013-154",0,"East Bogs"
"543","205-2011-171",1,"East Bogs"
"544","205-2011-187",1,"East Bogs"
"545","205-2014-175",2,"East Bogs"
"546","205-2012-168",1,"East Bogs"
"547","206-2013-186",1,"East Bogs"
"548","206-2011-171",0,"East Bogs"
"549","206-2014-174",3,"East Bogs"
"550","206-2012-182",0,"East Bogs"
"551","206-2012-152",0,"East Bogs"
"552","206-2011-187",1,"East Bogs"
"553","206-2011-153",2,"East Bogs"
"554","206-2014-192",4,"East Bogs"
"555","206-2014-175",0,"East Bogs"
"556","206-2014-155",2,"East Bogs"
"557","206-2013-154",0,"East Bogs"
"558","206-2013-170",2,"East Bogs"
"559","206-2012-168",2,"East Bogs"
"560","207-2013-154",1,"East Bogs"
"561","207-2012-152",0,"East Bogs"
"562","207-2014-192",2,"East Bogs"
"563","207-2011-153",2,"East Bogs"
