nestID,plot,year,fate,clutch.completion,fledgefail,eggs,fledged,BHCO.eggs,GPS.E,GPS.N
1171,Spring Mill State Park,2011,assumed fledged,5/7/2011,5/31/2011,3,3,1,549838,4286632
1172,Spring Mill State Park,2011,assumed fledged,5/9/2011,5/31/2011,3,2,2,550241,4286583
1173,Spring Mill State Park,2011,failed: pred,5/11/2011,5/26/2011,3,0,2,549604,4286482
1174,Owen-Putnam State Forest,2011,failed: unknown,5/11/2011,5/17/2011,4,0,0,512520,4352929
1175,Owen-Putnam State Forest,2011,failed: pred,5/20/2011,5/29/2011,4,0,0,512742.5673,4352411.178
1176,Owen-Putnam State Forest,2011,failed: pred,5/18/2011,5/31/2011,4,0,0,512369,4352682
1177,Owen-Putnam State Forest,2011,failed: pred,5/9/2011,5/31/2011,4,0,0,512364,4352532
1178,Owen-Putnam State Forest,2011,failed: pred,5/15/2011,5/22/2011,3,0,1,512586,4352340
1179,East Bogs,2011,assumed fledged,5/15/2011,6/8/2011,3,2,0,513902,4293360
1181,First Creek,2011,failed: pred,5/11/2011,5/27/2011,1,0,4,508391,4301880
1182,Area 27,2011,failed: pred,5/12/2011,5/18/2011,4,0,2,641142,4318054
1183,Area 27,2011,force fledged,5/13/2011,6/6/2011,4,4,0,640217,4318164
1184,Area 27,2011,failed: pred,5/14/2011,6/6/2011,2,0,0,640598,4317860
1186,Area 7,2011,failed: pred,5/18/2011,6/1/2011,3,0,0,635304,4321414
1187,Owen-Putnam State Forest,2011,failed: pred,5/16/2011,6/6/2011,4,0,1,512487.3488,4352314.991
1188,Area 7,2011,failed: pred,5/12/2011,6/1/2011,4,0,1,634945,4321212
1189,Area 7,2011,failed: pred,5/13/2011,5/16/2011,4,0,0,634964,4321253
11143,Owen-Putnam State Forest,2011,FLEDGED,5/11/2011,6/4/2011,4,4,0,512128.6037,4352731.221
1190,Area 7,2011,failed: pred,5/16/2011,6/7/2011,4,0,0,634904,4321651
1191,Area 27,2011,failed: pred,5/22/2011,5/23/2011,2,0,2,640582,4318105
1192,Area 27,2011,FLEDGED,5/16/2011,6/10/2011,3,3,0,640452,4318418
1193,Owen-Putnam State Forest,2011,FLEDGED,5/6/2011,6/1/2011,4,4,0,512514.0314,4352751.346
1194,Owen-Putnam State Forest,2011,failed: unknown,5/15/2011,5/25/2011,4,0,0,512758,4352842
1195,Spring Mill State Park,2011,FLEDGED,5/15/2011,6/8/2011,3,3,1,550038,4286376
1196,Spring Mill State Park,2011,failed: pred,5/15/2011,5/22/2011,2,0,1,549403,4286441
1197,Spring Mill State Park,2011,failed: unknown,5/17/2011,5/17/2011,4,0,0,549722,4286431
1198,Spring Mill State Park,2011,FLEDGED,5/11/2011,6/4/2011,3,4,1,549365,4286371
1199,Area 58,2011,FLEDGED,5/9/2011,6/1/2011,3,1,1,633971,4300650
11100,Area 58,2011,failed: pred,5/16/2011,5/18/2011,2,0,2,634143,4300624
11102,Area 58,2011,failed: pred,5/14/2011,6/3/2011,4,0,1,634152,4300341
11103,McCormick's Creek State Park,2011,failed: pred,5/10/2011,5/19/2011,3,0,3,524743,4350325
11104,McCormick's Creek State Park,2011,failed: pred,5/14/2011,5/20/2011,3,0,1,524548,4350106
11105,McCormick's Creek State Park,2011,failed: pred,5/7/2011,5/28/2011,3,0,0,524742,4350533
11106,East Bogs,2011,failed: pred,5/20/2011,6/6/2011,4,0,0,514283,4293405
11107,East Bogs,2011,FLEDGED,5/20/2011,6/16/2011,4,4,0,513945,4293465
11108,East Bogs,2011,failed: pred,5/7/2011,5/26/2011,4,0,0,514111,4293305
11109,Martin State Forest,2011,FLEDGED,5/11/2011,6/4/2011,4,4,0,512517,4313989
11110,Martin State Forest,2011,FLEDGED,5/12/2011,6/5/2011,2,2,1,512708,4313607
11111,McCormick's Creek State Park,2011,failed: unknown,5/15/2011,5/15/2011,0,0,0,524405,4349933
11112,Martin State Forest,2011,failed: pred,5/15/2011,5/23/2011,3,0,2,512435,4313715
11113,Martin State Forest,2011,failed: pred,5/15/2011,5/23/2011,4,0,0,512044,4313185
11114,Martin State Forest,2011,failed: pred,5/20/2011,5/23/2011,3,0,1,512146,4313532
11115,Martin State Forest,2011,assumed fledged,5/15/2011,6/8/2011,1,0,2,511951,4313545
11117,Martin State Forest,2011,assumed fledged,5/10/2011,6/4/2011,3,2,2,512440,4313812
11118,Martin State Forest,2011,failed: pred,5/20/2011,5/23/2011,4,0,0,512623,4313503
11119,Area 41,2011,failed: pred,5/14/2011,5/20/2011,4,0,2,641158,4310281
11120,Area 41,2011,FLEDGED,5/15/2011,6/8/2011,4,3,2,641276,4310402
11121,Area 27,2011,failed: pred,5/19/2011,6/12/2011,4,0,0,640592,4317987
11122,Area 27,2011,failed: pred,5/19/2011,6/2/2011,2,0,0,640481,4318221
11123,First Creek,2011,failed: weather,5/18/2011,5/26/2011,3,0,0,508795,4302656
11124,First Creek,2011,failed: pred,5/17/2011,5/22/2011,3,0,0,508623,4302838
11125,Sulphur Creek,2011,FLEDGED,5/13/2011,6/6/2011,4,4,1,522496,4303928
11126,Sulphur Creek,2011,assumed fledged,5/14/2011,6/7/2011,4,1,0,522538,4303630
11128,Area 27,2011,failed: pred,5/20/2011,6/5/2011,4,0,0,640503,4318086
11129,McCormick's Creek State Park,2011,failed: pred,5/13/2011,6/7/2011,4,0,2,524498,4350469
11130,Area 27,2011,failed: pred,5/13/2011,5/27/2011,4,0,3,641152,4318221
11131,Area 58,2011,assumed fledged,5/5/2011,5/29/2011,3,3,2,633876,4300523
11132,Area 58,2011,failed: pred,5/22/2011,6/3/2011,4,0,3,633817,4300747
11133,Area 58,2011,assumed fledged,5/6/2011,5/30/2011,4,4,0,633767,4300832
11134,Area 7,2011,failed: pred,5/16/2011,5/24/2011,3,0,0,635373,4321510
11135,McCormick's Creek State Park,2011,failed: abandoned,5/17/2011,5/17/2011,3,0,1,524612,4350708
11136,Owen-Putnam State Forest,2011,FLEDGED,5/10/2011,6/3/2011,4,4,0,512458,4352654
11137,Area 27,2011,assumed fledged,5/6/2011,5/30/2011,4,2,0,640697,4317820
11138,Area 27,2011,failed: pred,5/21/2011,5/30/2011,2,0,0,640761,4317722
11139,Owen-Putnam State Forest,2011,failed: pred,5/16/2011,5/16/2011,1,0,0,512266,4352604
11140,Owen-Putnam State Forest,2011,failed: pred,5/19/2011,6/5/2011,4,0,0,512666,4352822
11142,McCormick's Creek State Park,2011,failed: weather,5/8/2011,5/24/2011,4,0,1,524644,4350441
11147,Spring Mill State Park,2011,failed: pred,5/21/2011,5/26/2011,3,0,1,549646,4286570
11144,First Creek,2011,failed: pred,5/18/2011,5/23/2011,0,0,0,508567,4301992
11145,First Creek,2011,FLEDGED,5/15/2011,6/7/2011,3,1,5,508360,4301789
11146,East Bogs,2011,assumed fledged,5/8/2011,6/1/2011,4,4,0,514168,4293537
11148,Spring Mill State Park,2011,failed: pred,5/11/2011,5/27/2011,2,0,3,550063,4286505
11149,Spring Mill State Park,2011,failed: weather,5/22/2011,5/26/2011,3,0,1,550033,4286605
11150,Spring Mill State Park,2011,failed: pred,5/21/2011,5/22/2011,4,0,0,549770,4286731
